prompt_id,prompt_text,token_count,readability_score,hardware_type,energy_consumption
1,Prompt example 1,5,62.79000000000002,T4,7.45
2,Prompt example 2,5,62.79000000000002,T4,6.1
3,Prompt example 3,5,62.79000000000002,RTX 3090,12.17
4,Prompt example 4,5,62.79000000000002,T4,7.33
5,Prompt example 5,5,62.79000000000002,A100,7.82
6,Prompt example 6,5,62.79000000000002,T4,7.36
7,Prompt example 7,5,62.79000000000002,RTX 3090,4.71
8,Prompt example 8,5,62.79000000000002,T4,5.65
9,Prompt example 9,5,62.79000000000002,T4,9.79
10,Prompt example 10,5,62.79000000000002,A100,2.92
11,Prompt example 11,5,62.79000000000002,A100,8.04
12,Prompt example 12,5,62.79000000000002,T4,9.81
13,Prompt example 13,5,62.79000000000002,RTX 3090,7.22
14,Prompt example 14,5,62.79000000000002,T4,12.71
15,Prompt example 15,5,62.79000000000002,T4,3.06
16,Prompt example 16,5,62.79000000000002,RTX 3090,6.59
17,Prompt example 17,5,62.79000000000002,RTX 3090,6.83
18,Prompt example 18,5,62.79000000000002,A100,1.79
19,Prompt example 19,5,62.79000000000002,A100,4.99
20,Prompt example 20,5,62.79000000000002,A100,2.0
21,Prompt example 21,5,62.79000000000002,T4,4.72
22,Prompt example 22,5,62.79000000000002,T4,2.09
23,Prompt example 23,5,62.79000000000002,RTX 3090,8.63
24,Prompt example 24,5,62.79000000000002,T4,2.05
25,Prompt example 25,5,62.79000000000002,T4,7.99
26,Prompt example 26,5,62.79000000000002,RTX 3090,6.07
27,Prompt example 27,5,62.79000000000002,RTX 3090,7.22
28,Prompt example 28,5,62.79000000000002,T4,1.29
29,Prompt example 29,5,62.79000000000002,A100,8.63
30,Prompt example 30,5,62.79000000000002,T4,6.24
31,Prompt example 31,5,62.79000000000002,RTX 3090,8.28
32,Prompt example 32,5,62.79000000000002,A100,3.27
33,Prompt example 33,5,62.79000000000002,RTX 3090,9.64
34,Prompt example 34,5,62.79000000000002,A100,7.51
35,Prompt example 35,5,62.79000000000002,RTX 3090,7.34
36,Prompt example 36,5,62.79000000000002,A100,11.2
37,Prompt example 37,5,62.79000000000002,A100,3.25
38,Prompt example 38,5,62.79000000000002,T4,9.1
39,Prompt example 39,5,62.79000000000002,T4,7.57
40,Prompt example 40,5,62.79000000000002,RTX 3090,13.5
41,Prompt example 41,5,62.79000000000002,T4,5.07
42,Prompt example 42,5,62.79000000000002,T4,12.7
43,Prompt example 43,5,62.79000000000002,T4,11.49
44,Prompt example 44,5,62.79000000000002,RTX 3090,5.86
45,Prompt example 45,5,62.79000000000002,RTX 3090,2.48
46,Prompt example 46,5,62.79000000000002,A100,7.64
47,Prompt example 47,5,62.79000000000002,RTX 3090,3.81
48,Prompt example 48,5,62.79000000000002,A100,8.2
49,Prompt example 49,5,62.79000000000002,RTX 3090,1.63
50,Prompt example 50,5,62.79000000000002,RTX 3090,11.01
